epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2954,2.20027,3.90769,2.34242,0,0,0,0,4.23923,inf,107.211,0.0706122,0.00326531,0.00326531
2,118.666,2.12721,2.17898,2.22968,0.00019,0.05714,0.00011,3e-05,3.48285,inf,4.16362,0.0406108,0.00659717,0.00659717
3,169.563,1.99859,2.05676,2.08656,0.004,0.54286,0.00291,0.00122,2.46178,inf,3.29273,0.0106034,0.00992315,0.00992315
4,220.708,1.95731,1.92901,2.07993,0.00797,0.21429,0.00577,0.00195,2.63397,inf,3.24055,0.00998003,0.00998003,0.00998003
5,273.012,1.8087,1.7799,1.92275,0.00101,0.12857,0.00066,0.00026,3.11544,7.31122,4.23861,0.00996452,0.00996452,0.00996452
6,329.853,1.78025,1.63737,1.85252,0.08926,0.15714,0.04694,0.01324,2.64585,12.7695,3.09109,0.0099446,0.0099446,0.0099446
7,387.574,1.71646,1.55342,1.83705,0.4762,0.2,0.2381,0.12628,2.24373,9.6065,2.50906,0.00992029,0.00992029,0.00992029
8,448.9,1.66647,1.47438,1.78109,0.67476,0.59281,0.61072,0.29569,1.83521,3.58092,2.08493,0.00989163,0.00989163,0.00989163
9,506.294,1.69346,1.5191,1.79773,0.83308,0.38571,0.45739,0.2762,1.81362,2.27403,1.92224,0.00985862,0.00985862,0.00985862
10,564.998,1.60705,1.44921,1.72357,0.88773,0.57143,0.72934,0.42221,1.56955,1.68185,1.75087,0.00982132,0.00982132,0.00982132
11,621.472,1.54122,1.32203,1.65438,0.79684,0.74286,0.81947,0.47423,1.48884,1.51217,1.71123,0.00977975,0.00977975,0.00977975
12,676.552,1.51664,1.33986,1.65407,0.89221,0.68571,0.82199,0.48728,1.46003,1.58214,1.67878,0.00973396,0.00973396,0.00973396
13,730.233,1.48567,1.28587,1.61662,0.86301,0.72857,0.83414,0.5386,1.3051,1.38538,1.55476,0.00968399,0.00968399,0.00968399
14,780.639,1.48651,1.24231,1.60279,0.86696,0.65174,0.75571,0.41458,1.67375,1.66843,1.82082,0.0096299,0.0096299,0.0096299
